iter	Logloss
0	0.6534915349
1	0.6244364515
2	0.5887927061
3	0.5633210573
4	0.5403548048
5	0.5183644725
6	0.500742244
7	0.4863739347
8	0.4725135685
9	0.4586387393
10	0.4452112104
11	0.4336633801
12	0.4239476535
13	0.4142321938
14	0.4052109342
15	0.3972117746
16	0.3905967689
17	0.3830923195
18	0.3752512475
19	0.3676979508
20	0.3625608455
21	0.356882872
22	0.3513255734
23	0.3480265404
24	0.3426244516
25	0.3389285178
26	0.3359858481
27	0.3311250828
28	0.3275204468
29	0.3232844429
30	0.3189824716
31	0.3149778581
32	0.3120891371
33	0.3091117805
34	0.3053025798
35	0.3018889847
36	0.2991899208
37	0.2970021197
38	0.2938729201
39	0.2902051295
40	0.2880397861
41	0.2855101185
42	0.2828589802
43	0.2805415974
44	0.2786900209
45	0.2760220566
46	0.2739326738
47	0.2723517666
48	0.2709435552
49	0.2682412977
50	0.2663657783
51	0.2651722344
52	0.263608162
53	0.2615471401
54	0.2601200779
55	0.2586968964
56	0.2576505318
57	0.2567030905
58	0.2549811801
59	0.2538944338
60	0.2532161169
61	0.2518966765
62	0.2506927337
63	0.2482671847
64	0.2465366926
65	0.2453942458
66	0.2449006595
67	0.2430197734
68	0.2410232703
69	0.2396538321
70	0.2382970066
71	0.2370804032
72	0.2361456903
73	0.235208376
74	0.2347212479
75	0.2334391238
76	0.2322961191
77	0.231381668
78	0.230620027
79	0.2295486832
80	0.2280655884
81	0.2275644944
82	0.2264204278
83	0.2254966305
84	0.2244572299
85	0.2240303132
86	0.2221014997
87	0.2210122103
88	0.2201887302
89	0.2193436714
90	0.2183705319
91	0.217642613
92	0.2164892323
93	0.2157488562
94	0.2147344904
95	0.2142095968
96	0.2137288118
97	0.2132059958
98	0.2125621364
99	0.2118539663
100	0.2110347154
101	0.2097863522
102	0.2090955041
103	0.2086161316
104	0.208005335
105	0.2074982386
106	0.2070622203
107	0.2064521261
108	0.2061602664
109	0.2056935824
110	0.2051548561
111	0.2045423884
112	0.2040067638
113	0.20345393
114	0.202889445
115	0.2020572365
116	0.2016814972
117	0.2008815653
118	0.2004693879
119	0.199863115
120	0.1990479207
121	0.1987608953
122	0.198492264
123	0.1980555541
124	0.1974242928
125	0.197074678
126	0.1964278705
127	0.1960641581
128	0.1953432373
129	0.194470951
130	0.1937466278
131	0.1934077755
132	0.1930456495
133	0.1926786925
134	0.1921464929
135	0.1915520823
136	0.1908326023
137	0.1902606911
138	0.1897186537
139	0.1892766015
140	0.1883199689
141	0.1879428617
142	0.1873170787
143	0.1869650188
144	0.1864786055
145	0.1858711494
146	0.185437127
147	0.1851409988
148	0.1843565765
149	0.1837964153
150	0.1834332837
151	0.1829678144
152	0.1822714749
153	0.1814993065
154	0.181148872
155	0.1807922797
156	0.1803929347
157	0.1796307543
158	0.179372299
159	0.1790816616
160	0.1787964902
161	0.1781142791
162	0.177702025
163	0.1773058015
164	0.1767627174
165	0.1763003959
166	0.1761164193
167	0.1758756893
168	0.1753658504
169	0.1747915559
170	0.1745486236
171	0.1742476326
172	0.1739837319
173	0.1736999413
174	0.1733283251
175	0.172962259
176	0.1727135123
177	0.1723047984
178	0.1720434805
179	0.1716147796
180	0.1713809758
181	0.1711581578
182	0.1706553318
183	0.1702020598
184	0.1696474075
185	0.1693055503
186	0.1690522504
187	0.168800546
188	0.1685619965
189	0.1682602522
190	0.1680516727
191	0.1675713496
192	0.1669297646
193	0.1664592776
194	0.1660272595
195	0.16574058
196	0.1653310304
197	0.1649273835
198	0.1647254954
199	0.1643288139
200	0.1640752756
201	0.1637084647
202	0.163455425
203	0.162970318
204	0.1626623979
205	0.1623749306
206	0.1620590863
207	0.1617476446
208	0.1614754538
209	0.1612913103
210	0.1610242428
211	0.1607516547
212	0.1604488847
213	0.1601819557
214	0.1598480382
215	0.1595240755
216	0.1591741487
217	0.1588837296
218	0.1584419524
219	0.1580894784
220	0.1578451384
221	0.1575563825
222	0.1574265986
223	0.1570507445
224	0.1567619955
225	0.1565567915
226	0.1562900666
227	0.1559725336
228	0.1554588778
229	0.15514608
230	0.1549201198
231	0.1546506531
232	0.1543874774
233	0.1540996514
234	0.1538260865
235	0.1534051118
236	0.1530164363
237	0.1526284219
238	0.1523929287
239	0.1520854892
240	0.1518293068
241	0.1514297132
242	0.1511480628
243	0.1507607156
244	0.1503669617
245	0.1501326834
246	0.1496188832
247	0.1493737681
248	0.1491289759
249	0.1488739599
250	0.1484603182
251	0.1482276103
252	0.1478400085
253	0.1475725564
254	0.1473208993
255	0.1470068014
256	0.14668943
257	0.146420343
258	0.1460874592
259	0.1457842846
260	0.1455804487
261	0.1452814079
262	0.1450179332
263	0.1447915813
264	0.1445921663
265	0.1443360315
266	0.1439836369
267	0.1437582963
268	0.1434457297
269	0.143228719
270	0.1429957236
271	0.1427115032
272	0.1424094211
273	0.1421713415
274	0.1418523185
275	0.1413889965
276	0.1411419376
277	0.1408560553
278	0.1406443606
279	0.1403963897
280	0.1400971471
281	0.1398927187
282	0.1396697032
283	0.1394485202
284	0.1390643498
285	0.1387929222
286	0.1384802889
287	0.1381581687
288	0.1379089035
289	0.1375282583
290	0.1373046769
291	0.137050089
292	0.1367263661
293	0.136473089
294	0.1362618495
295	0.1359812751
296	0.1357779541
297	0.1355805899
298	0.1353730283
299	0.1351300726
