iter	Logloss
0	0.65400512
1	0.6211384699
2	0.5896460122
3	0.5668898803
4	0.5424544325
5	0.522247249
6	0.5024958608
7	0.484558161
8	0.4694035479
9	0.4550345992
10	0.4438842189
11	0.4317876637
12	0.4223559622
13	0.4146716835
14	0.4061253166
15	0.397854736
16	0.3918709909
17	0.3816566147
18	0.3764459136
19	0.3699565878
20	0.3638762646
21	0.3604826798
22	0.356366508
23	0.3521190413
24	0.3471524623
25	0.3418551377
26	0.3383254239
27	0.3329468925
28	0.329367252
29	0.3256968016
30	0.3221541192
31	0.3177661724
32	0.3126870813
33	0.3087868928
34	0.3067408281
35	0.3044501433
36	0.3017552527
37	0.2987947217
38	0.296755931
39	0.2948525263
40	0.2925276351
41	0.290105835
42	0.2884955791
43	0.2867902349
44	0.284177825
45	0.2808070369
46	0.279480917
47	0.2762854878
48	0.2748969955
49	0.2736457176
50	0.2715884313
51	0.2707669922
52	0.269334051
53	0.2680267892
54	0.2670537329
55	0.2658524958
56	0.264673489
57	0.2635048191
58	0.2623779834
59	0.2612202825
60	0.2591714766
61	0.2578752539
62	0.2562968173
63	0.2548336464
64	0.2536823047
65	0.2527035359
66	0.2512010034
67	0.2500480991
68	0.2494683094
69	0.2487336932
70	0.2477790274
71	0.2459727769
72	0.2451344482
73	0.2427896266
74	0.2414505776
75	0.2406737882
76	0.2399487232
77	0.2388154808
78	0.2380549634
79	0.2367986937
80	0.2362300453
81	0.2356457396
82	0.23476977
83	0.2337146552
84	0.2329932414
85	0.2322614867
86	0.2309709734
87	0.2300248743
88	0.2295843582
89	0.2288862589
90	0.2278136999
91	0.2274318445
92	0.2269502376
93	0.2262709521
94	0.2257585779
95	0.2242692767
96	0.2232860661
97	0.2224982668
98	0.2219540148
99	0.2206684715
100	0.219800287
101	0.2189572777
102	0.2184729138
103	0.2178822794
104	0.217417109
105	0.2164593162
106	0.2160048255
107	0.2155919126
108	0.21485083
109	0.2143712167
110	0.2136818833
111	0.2133821836
112	0.2126666227
113	0.2118145776
114	0.2110665725
115	0.2104878067
116	0.2098294238
117	0.2092430375
118	0.2084147197
119	0.2077455112
120	0.207229059
121	0.2064937245
122	0.2058364459
123	0.2051922007
124	0.2045153121
125	0.2037382517
126	0.2033063058
127	0.2027706383
128	0.2020910435
129	0.201558577
130	0.2011654545
131	0.2006911826
132	0.2001565805
133	0.1997812128
134	0.199422036
135	0.1989902103
136	0.1983693179
137	0.1976140542
138	0.1970609212
139	0.196578818
140	0.1960943288
141	0.1953310613
142	0.1947989049
143	0.1945553678
144	0.1942216276
145	0.1939022557
146	0.1934072888
147	0.1930443274
148	0.1924383307
149	0.1919015245
150	0.1912246531
151	0.1907798027
152	0.1904099632
153	0.1899384952
154	0.1894233375
155	0.1891117479
156	0.1884128408
157	0.1881282704
158	0.1875194634
159	0.1871064266
160	0.1864498655
161	0.1860278316
162	0.1856298143
163	0.1849751084
164	0.1846128012
165	0.1842841048
166	0.1839379038
167	0.1836494319
168	0.1832167389
169	0.1827069771
170	0.1820934404
171	0.1813063753
172	0.180898891
173	0.1804172313
174	0.1801439338
175	0.1796619575
176	0.1792795074
177	0.1787203602
178	0.1783789088
179	0.1779533379
180	0.1775464992
181	0.1772896816
182	0.177033341
183	0.1767249415
184	0.1763492015
185	0.1760085201
186	0.1756726431
187	0.1752824123
188	0.1750044112
189	0.1747678384
190	0.1743051818
191	0.1739108014
192	0.1735527577
193	0.1732651889
194	0.1730131728
195	0.1726925201
196	0.1723876728
197	0.1719159792
198	0.17145178
199	0.1709122607
200	0.1706367788
201	0.1703250742
202	0.1699765006
203	0.1696412698
204	0.16918599
205	0.1687284508
206	0.1683846601
207	0.1680926351
208	0.1676798029
209	0.1671071575
210	0.1667217252
211	0.1663896077
212	0.1660874838
213	0.1656850413
214	0.165411221
215	0.1650332556
216	0.1647500091
217	0.1644562004
218	0.1640450846
219	0.1636569583
220	0.1632653312
221	0.1628061213
222	0.162189849
223	0.1619379083
224	0.1616989265
225	0.1615318558
226	0.1612514867
227	0.1609295946
228	0.1605889766
229	0.1603456519
230	0.1600268782
231	0.1597503526
232	0.1594901997
233	0.1590864987
234	0.1587888364
235	0.1584117165
236	0.1581226361
237	0.1577231129
238	0.1574166153
239	0.1572174565
240	0.156930721
241	0.1565707991
242	0.156405228
243	0.1557742977
244	0.1555211065
245	0.1552152833
246	0.1549841215
247	0.1546768536
248	0.1544624766
249	0.1542013411
250	0.1539399373
251	0.1537029057
252	0.1533971864
253	0.1531704056
254	0.1527653263
255	0.1525459562
256	0.1522766979
257	0.151721386
258	0.1513965636
259	0.1510652522
260	0.150850848
261	0.1503644125
262	0.1500761524
263	0.1498356834
264	0.1494927417
265	0.1490695507
266	0.1487951305
267	0.1485808044
268	0.1483017538
269	0.1479950036
270	0.1476895197
271	0.1473674961
272	0.1470027901
273	0.1467879609
274	0.1463787297
275	0.1461048517
276	0.145801857
277	0.1456045899
278	0.145350907
279	0.145085365
280	0.144867168
281	0.1446380102
282	0.1442974928
283	0.1441250768
284	0.1438220286
285	0.1436274794
286	0.1432952611
287	0.143064345
288	0.142796027
289	0.1425321191
290	0.1423728337
291	0.1420691515
292	0.1417168328
293	0.141539096
294	0.1413171452
295	0.1410975737
296	0.1408914986
297	0.1406903913
298	0.1404534448
299	0.140172646
